Emotion,Text
joy,sage act upgrad list tommorow
sadness,way homegirl babi funer man hate funer realli show bless
joy,eye true hazel eyeand brilliant regular featur open counten complexion oh bloom full health pretti height size firm upright figur health mere bloom air head glanc one hear sometim child pictur health alway give idea complet pictur grownup health loveli
joy,ugh babe hugggzzz u babe naamaz nga ako e babe e despit nega ma pinaramdam fil ko ang
fear,im expect extrem import phonecal minut
sadness,couldnt wait see live miss nh wasnt pain enuf suraj perform last gig delhi
surprise,maken tip stop op een moment dat je het hele project wel ziet zitten nu du
surprise,en dan krijg je ff een cadeautj van een tweep
surprise,drummer boy bij op verzoek van welk uitvoer van wie
anger,bull toss effigi hand becam infuri
sadness,peopl hide behind smile
joy,life leopold must truli happi hope prayer belov son seem last come fruition
fear,assault laughter noth stand mark twain
anger,everyth everybodi
sadness,shakuhachi dress mm len
surprise,haha cours come home differ hous leav parent redo entir downstair without warn
joy,feel fail french
joy,goodlet go
surprise,reeeeeellllyyyyyyi need tell someth guess go phone fuck
sadness,oh that bad call doctor
joy,fell love x overnight felt confid selfesteem respons worthwhil
fear,primit that friendit warn pay attent ur dangerit tell act save
anger,talk
fear,ride friend car speed kmh snowcov motorway would like get
sadness,your welcom glad could make night love pleas dont leav im gon na miss much
surprise,anoth end almost poop pant end last week crazi end
joy,one could get terribl ecstat would danger thing
sadness,much lose someth go fat burger dinner dad
joy,select studi univers
joy,yeah age
fear,friend misunderstood know good
fear,add three thing symptom call u wan na learn
shame,nobodi doubt fail recognis temporari financi embarrass
fear,bank made secret dismay virgin ventur airlin
joy,pass ba exam first class result
sadness,homi go ride poni look like sad puppi
surprise,pop roll across floor
sadness,omg decemb th window open hous mr winter jack frost miss
surprise,alleen nog even morgen cadootj kopen stadj en dan helema klaar
surprise,im planet im one planet hold life discov
anger,kill work see number slaker wander around noth
fear,year ago father ill stay hospit long time experienc terribl feel might lose
sadness,thought alreadi agre everyth go take week rework
anger,parent didnt allow go social function friend attend
fear,famili bedrock societi unless protect institut marriag countri fall
sadness,bro team lost least play swag
joy,heard select fot first year univers zambia form five chikola secondari school
anger,someon tri rape one best friend claim fault hassl claim loos threaten sue
joy,welp time studi next day
joy,head campu rain take grad photo
fear,dismay way kid savag flora stonethwait good exampl
sadness,moment terror go drink hot chocol know burn mouth
sadness,well lot pressur boss pushi assign three project deadlin near still finish project
sadness,sink broken night go lambnow pbj
sadness,appar lost bestfriend
fear,shakiest point lead histori colleg footbal lol
fear,peopl get trap elev actual take stair next time let take wear
sadness,rare desper need someon talk tonight one night everyon sleep im loss
sadness,sr hs one class counselor die hepat sensit knew shyness drew improv imag miss funer could public griev parent didnt understand
surprise,good morn store today
neutral,motherinlaw use thing us wasnt disciplin enough disciplin much also complain food fed school sent everyth els sun
joy,feel awesom
joy,bring ive bought christma present didnt trawl load shop
surprise,almost forgot hair red look mirror
fear,heard father found letter boyfriend call talk
fear,result see walk situat wo lord faith realiz get b
fear,shot horrifi look
neutral,well didnt think first start talk found extrem funni witti couldnt stop laugh joke much common like team music amazingli love chines food feel go great friend
fear,applic
joy,shit pant pure gravi
fear,two year ago saw film tv even make afraid
joy,class jam last paper quarter reason celebr though studi begin right
