sentence,emotion
i just feel really helpless and heavy hearted,fear
ive enjoyed being able to slouch about relax and unwind and frankly needed it after those last few weeks around the end of uni and the expo i have lately started to find myself feeling a bit listless which is never really a good thing,sad
i gave up my internship with the dmrg and am feeling distraught,fear
i dont know i feel so lost,sad
i am a kindergarten teacher and i am thoroughly weary of my job after having taken the university entrance exam i suffered from anxiety for weeks as i did not want to carry on with my work studies were the only alternative,fear
i was beginning to feel quite disheartened,sad
i would think that whomever would be lucky enough to stay in this suite must feel like it is the most romantic place on earth,love
i fear that they won t ever feel that delicious excitement of christmas eve at least not in the same way i remember doing it,joy
im forever taking some time out to have a lie down because i feel weird,suprise
i can still lose the weight without feeling deprived,sad
i try to be nice though so if you get a bitchy person on the phone or at the window feel free to have a little fit and throw your pen at her face,joy
im feeling a little like a damaged tree and that my roots are a little out of wack,sad
i have officially graduated im not feeling as ecstatic as i thought i would,joy
i feel like a jerk because the library students who all claim to love scrabble cant be bothered to participate and clearly scrabble is an inappropriate choice for a group of students whose native language isnt english,anger
i feel my portfolio demonstrates how eager i am to learn but some who know me better might call it annoyingly persistent,joy
i may be more biased than the next because i have a dependent life to take care of and to keep safe but i feel we all need to take care of ourselves as well,joy
i didn t feel terrific,joy
i miss all the others as well that feel that i wronged them and they will soon understand that i didnt,anger
i feel so stupid that i realise it so late,sad
i saunter through the airport terminals feeling that i have had an experience that renders the petty tribulations of everyday travel somehow far less significant,anger
i need to feel dangerous and pretty so here a striking dance pick deep in vogue minutes ago,anger
i am feeling much stronger and more confident now and by professional opinion i know that i do not have anything serious,joy
i take a shower i feel wonderful energetic and all my previous feelings about my life turn into this awesome feeling creating my life like the happiest life in the world,joy
i don t feel submissive and for the time being i ve lost interest in some bdsm stuff,sad
i would imagine this is just one of the reasons why marriage is so hard because theyll see all the good bad and ugly parts of you the parts that make it hard for you to love yourself and it feels even more awful when you feel like those parts are exposed to other people and i dont know,sad
i feel like a real fan not that i was ever a fake fan,sad
i feel like i am actually getting something useful out of it,joy
i was able to overcome this anxiousness and feel peaceful as i quickly jotted down all the answers to todays homework,joy
when,anger
i have been successful in providing some peace of mind i feel content,joy
i guess that feeling is what im really getting all nostalgic about,love
i needed to show me that i really am integrating and making connections here since i had been feeling pretty homesick the week before,sad
i feel disheartened to message him and yet does not get a reply or any news from him,sad
i feel assured that i m doing so much right and that i am not alone,joy
i was less intelligent and could not really feel through my music was not passionate about the little things im not sure i would go for it,love
i found jason s observation very helpful in restating a truth i learned some years ago as my wife and i now together for years went through some times when you love someone trust can feel an awful lot like letting go,sad
i admit some of my inspiration to go this direction is because i am feeling a little melancholy that i won t be making my a href http www,sad
i have found myself feeling hopeless about the future and about life,sad
i kinda have a feeling that something will come damaged and it wont be returnable or that the whole thing will have a defect,sad
this emotion has never been an intense one,anger
i dunno i just feel scared to walk in after awhile it got ok but when i walk into this room w poorly erected brick walls separating the room into xm partitions,fear
i feel about my holiday break from work pagetitle rugmi popular images of the now,joy
i think a guy can make up for lacking funds in romantic ways to make his lady feel taken care of and loved,love
i began to feel doomed,sad
i feel my life is totally in ecstatic chaos,joy
i feel i am being neglectful to a lot of you by not responding to your comments,sad
i havent done my eye make up i hate anyone seeing me and i feel nekkid that sounds really vain but i just think i look horrendous without it,sad
i feel a bit intimidated and out of my league due to his experience,fear
i remember feeling after the third bong hit that i was being pressured into this,fear
i feel anger when i see a parent beating and punishing his child in the street recently i was a withness of a similar case,anger
i have wished her the best and i truly feel as though i am sincere about this,joy
i would want to thank them for letting my heart feel the lovely phenomenon for the first time,love
i was feeling lousy and wondering if i d be able to keep up with the vlcd part of the hcg cycle,sad
i feel so much more intelligent now,joy
i feel distraught and completely tormented every time my phone goes off i hope,fear
i will reveal only as much of my reading here as i feel comfortable with,joy
i went from feeling like i knew what i was doing to feeling completely helpless,sad
i got quite high and started to be really really random and like i didnt feel that awkward with the year s anymore,sad
i am saying is im trying to learn what to do when i feel like theres not enough time in one day let alone a whole lifetime to do what is required of me,sad
i have a feeling that has to do with the unfortunate fact that our family cat recently passed away,sad
i feel a lot less hostile,anger
i miss feeling am his only special girl hed take out on a date,joy
i do with family education and one way we feel that family education is so vital not just because you can come in and help the one who is addicted it is for the family because they are also negatively impacted by the slough that comes off with a person who is addicted,joy
i will never feel completely content i will always long for more,joy
im feeling a little better and with more christmas spirit i thought that by this date id had all my christmas decorations up but im not finish even with the lights,joy
i was feeling extremely generous last night so my companion ate double and i just told the lion in my stomach to pipe it,joy
i suppose because there is so much to do i feel over burdened,sad
i feel strong confident intelligent and ready to step out into the real world,joy
i know how you feel about being shy,fear
i know im going to disappoint you but ive decided not to volunteer this year because i fear ill end up feeling resentful,anger
i feel that lauterbach was victimized again and again,sad
i feel wronged by certain people and my instinct was to get angry at them and stop speaking to them but two wrongs dont make a right i think,anger
im noticing how easy it is to waver between excitement and engagement in the everyday the mundane the fun sparkly shiny stuff of life and absolute desperate misery or guilt for not feeling miserable more often,sad
ill write here from time to time when im feeling especially inspired but for the most part im done,joy
i am still a bit of a pagan in that respect in that i feel everything has something of the divine in it and god is not separate from the earth but part of it as are we,joy
i didn t feel threatened at all in fact the place seemed almost welcoming comforting even,fear
i feel that the technology and the act of communication are their own challenge and i have been hesitant to figure out how to make it work,fear
i feel so devastated over someone i was skeptical about all along,sad
i have to put on a mask when i come into work i have to suppress all of the emptiness i feel inside the pain and loneliness the bitter and jaded woman that i really am,anger
i have been able to lose three kilo s and i am feeling more energetic even with an month old so things seem to be on track,joy
i feel free to express myself without inhibition,joy
realizing that school will soon be over,sad
i remember then feeling bitter that i couldnt pop the balloons and join in the celebrations,anger
i think that was what got me started feeling homesick,sad
id have good days weeks months but i kept feeling like it cant last life cant be this sweet,joy
im the customer i wont feel welcomed but intimidated,joy
i feeling glamourous i wear something glamourous i feeling more relaxed i put on me feel relaxed so basically fashion expression of person,joy
i am feeling rather fond of my neighbourhood right now,love
im still me its just im feeling affectionate here lately,love
i was feeling really overwhelmed,suprise
i don t want to sit inside and be alone i don t want to just do nothing but i also feel anxious overwhelmed,fear
i feel less and less burdened or bothered by both the past and my present day to day challenges,sad
i did in april and how i couldn t feel my feet until the run because the water was so cold,anger
im only barely starting to feel uncomfortable,fear
i can feel comfortable shooting in daisy dukes and a bikini top,joy
i feel like i havent had a moment to breathe so a little beach time amp relaxation is welcomed,joy
i am feeling helpless because he is who the referee in game,sad
i had not been in a convertible in many many years and the feeling of the wind in my hair was so wonderful,joy
i feel like a whiner because my pain is really not that bad compared to what many people live with and i still have some hope of recovery while many do not,sad
i feel like it is chipping away at my heart bit by bit with an extremely dull and cold chisel,sad
