Emotion,Text
neutral, Why ? 
joy,Sage Act upgrade on my to do list for tommorow.
sadness,ON THE WAY TO MY HOMEGIRL BABY FUNERAL!!! MAN I HATE FUNERALS THIS REALLY SHOWS ME HOW BLESSED I AM 
joy," Such an eye ! The true hazel eye-and so brilliant ! Regular features , open countenance , with a complexion , Oh ! What a bloom of full health , and such a pretty height and size ; such a firm and upright figure ! There is health , not merely in her bloom , but in her air , her head , her glance . One hears sometimes of a child being ' the picture of health ' ; now , she always gives me the idea of being the complete picture of grown-up health . She is loveliness itself . "
joy,"@Iluvmiasantos ugh babe.. hugggzzz for u .!  babe naamazed nga ako e babe e, despite nega's mas pinaramdam at fil ko ang "
fear,I'm expecting an extremely important phonecall any minute now #terror #opportunity
sadness," .Couldnt wait to see them live. If missing them in NH7 wasnt painful enuf, Suraj 's performing his last gig in delhi. "
surprise,maken Tip 2: Stop op een moment dat je het hele project wel ziet zitten. Nu dus. #derestkomtlaterwel
surprise,En dan krijg je ff een cadeautje van een tweep #melike
surprise," @1116am Drummer Boy bij op verzoek van @BiemOosterhof . @frankcornet : welke uitvoering, van wie?"
anger,"The bull tossed the effigy out of their hands and became very infuriated . "" "
sadness,People hide their behind a #fake smile.
joy,"For once in his life , Leopold must have been truly happy : his hopes and prayers for his beloved son seemed at last to have come to fruition . "
fear,Against the assault of laughter nothing can stand. ~ Mark Twain #emotionalcourage
anger," With everything , with everybody , with all this ! "
sadness,"Shakuhachi dress $580,  10-22 mm lens $708 #pain :("
surprise,"Haha of course I come home to a different house, leave it to my parents to redo the entire downstairs without warning "
joy,I have a feeling i will fail french #fuckfrench
joy, Good.Let ' s go now . 
surprise,"@JuliaLeader I reeeeeellllyyyyyyy need to tell you something, but guess what. My go phone is fucked up. #gotohellmexicanphone"
sadness," Oh , that's too bad . Should I call a doctor ? "
joy,"When I fell in love with \X\"".  Overnight I felt confidence, self-esteem,    responsible and worthwhile."""
fear,"is a primitive #Instinct that's your friend.It warns you to pay attention when ur in danger,it tells you to do or act to save yourself"
anger,I have to talk to you ! 
fear,I was riding with a friend in his car. At a speed of 120 km/h on the snow-covered motorway I would have liked to get out.
sadness,you're so welcome @madelineerich8! so glad I could make your night! love you. please don't leave me :( i'm gonna miss you so much! 
surprise,another ending? i almost pooped my pants at the end of last weeks crazy ending!  #dEcodEd
joy,One could get terribly ecstatic but that would be a dangerous thing to do . 
sadness,So much for losing something.. Going to fat burger for dinner with dad   
joy,When I was selected to study here at university.
joy," Yeah , it ’ s been ages ! So how have you been ? "
fear,is a friend that you misunderstood but I know the #heartoflife is good..
fear,@nicolescherzy @nicosherzinger &  &#xA;&#xA;Add those three things up and you have a symptom called #NERVOSO &#xA;&#xA;u wanna learn [:
shame,"Nobody doubted him , or failed to recognise his temporary financial embarrassment . "
fear,The bank had made no secret of their dismay over Virgin 's venture into airlines . 
joy,When I passed the B.A exams with first class results.
sadness,homies all go to ride ponies... I look at them like a sad puppy #wanttoride #ankleneedstoheal
surprise,pop out &amp; roll across the floor !
sadness,OMG its December 5th and the windows are open at my house. Mr. Winter where are you. Jack frost is missing too. 
surprise,alleen nog even morgen cadootjes kopen in stadje en dan helemaal klaar 
surprise," I'm not from this planet, I'm from one of the other planets that hold life &amp; are just being discovered. "
anger,"When you kill yourself with work and see the number of slakers wandering around, doing nothing."
fear,Few years ago my father was very ill. He stayed at a hospital for a long time. Then I experienced that terrible feeling that I might lose him.
sadness, I thought they had already agreed to everything . That ’ s going to take weeks to rework . 
anger,My parents didn't allow me to go to a social function that all my friends were attending.
fear,"&quot;The family is the bedrock of our society. Unless we protect it with the institution of marriage, our country will fall.&quot;  "
sadness,Bro team lost... .... Least he played with swag... #freshcut
joy,When I heard that I had been selected fot the first year at the university of Zambia.  This was after my form five at Chikola secondary school.
anger,"When someone tried to rape one of my best friends and he claimed it was her fault. He the hassled her, claimed she was loose, and threatened to sue her."
joy,Welp time to study for the next few days... 
joy,Heading to campus in the rain to take grad photos 
fear,My own dismay at the way those kids were savaging the flora of Stonethwaite is a good example . 
sadness,That moment of terror when you go to drink your hot chocolate knowing its about to burn your mouth. 
sadness," Well , I am under a lot of pressure . My boss is very pushy . He assigned me three projects . Now the deadlines are near , and I still have not finished all of my projects . "
sadness,Sink is broken so no  2night: Was going to be lamb..now just pbj! 
sadness,I apparently lost my best-friend.. 
fear,“@mattmosley: This is the shakiest 14-point lead in history of college football.” lol 
fear,"People who get trapped in an elevator actually do take the stairs next time,, don let take over and wear you down .. #quote #life"
sadness,I very rarely am in desperate need of someone to talk to. Tonight is one of those nights. Everyone is sleeping. I'm at a loss. 
sadness,When I was a Sr. in HS. one of the class counselors died of hepatitis. She was very sensitive. She knew my shyness and drew me out to improve myself image. I missed her funeral - so I could not publically grieve. My parents didn't understand.
surprise,Good Morning  What Do You Have In Store For Me Today?!?!... #EnjoyTheDay
neutral," My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . "
joy, I am feeling awesome .
joy,@TheBodyShopUK brings me - I've just bought all my Christmas presents and I didn't have to trawl loads of shops! :)
surprise,I almost forgot my hair was red until I looked in the mirror 
fear,When I heard that my father had found a letter from my boyfriend and he was calling me to talk about it.
fear,results from seeing ourselves walk into a situation w/o the LORD. FAITH is realizing that HE gets there b4 we do.
fear,She shot him a horrified look . 
neutral," Well , I didn't think so at first . But as we started talking , I found him extremely funny and witty . I couldn't stop laughing at his jokes ! And we have so much in common . We like the same team , music , and most amazingly , we both love Chinese food ! I have the feeling that we are going to be great friends . "
fear,Not applicable to myself.
joy,I just shit my pants. Pure 100% gravy. 
joy,"For once in his life , Leopold must have been truly happy : his hopes and prayers for his beloved son seemed at last to have come to fruition . "
fear,Two years ago I saw a film on the TV. Even now it makes me afraid.
joy,Class then jamming out my last paper of the quarter.  No reason to celebrate though. Studying will begin right after. 
sadness,"NOOOOOO, no pongan super torpe a las 9 de la mañana, entendemos que nadie lo ve, pero yo sí! y no me voy a levantar para verlo "
fear,Seeing a stray dog run right pass you on Morehouse campus.. 
neutral, Once in a while . 
anger,Side effect of not smoking reefer. 
fear,When I was 12 years old I frequently was pursued by others and got sound thrashes.
fear,“@FrankyFade: The team is hot  @andrealandis @iammynority @FRISCOLOPEZ @iamthefabian” yes sir
fear,"Dad , I'm scared . "
joy,I can't wait to just sleep in tomorrow! I must study tonight and tomorrow and the next night oh and 3 essays due!
anger,is a juvenile emotion that even the most simple minded creature can express
anger,"Suppressing her annoyance at being called "" Little Sara "" , she replied that all was well . "
joy,Now time to unpack and finish some homework 
surprise,Stopped today for gas in a small town to my an attendant came to tell me &quot;we are full #service. Do you young #tweeters have a clue
surprise,Can't wait for @siobhanshannonx to open her christmas prezzie #christmas
surprise,Decorating the entire house with christmas cheer for my mommy. 
anger,Sly was left feeling absolutely livid . 
surprise,Iemand nog surprise idee voor een vrouw? 
